timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
5697367989,5697367708,0.0019999985,2.7058566e-09,0.0019999994,7.996208e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697375477,5697375199,0.0019999985,1.3382379e-09,0.0020000008,5.3834714e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697379242,5697378944,0.0020000022,1.3968899e-09,0.001999997,9.3890173e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5697385458,5697385186,0.0020000003,5.973219e-10,0.0019999999,1.3858548e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697389210,5697388932,0.0020000003,1.3202683e-10,0.0020000003,1.3492313e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697392962,5697392677,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697405444,5697405162,0.0019999985,1.6583864e-09,0.0020000006,5.319252e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697406684,5697406410,0.0020000022,3.0843443e-09,0.0019999952,6.616591e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697414172,5697413901,0.0020000003,2.8863058e-11,0.0020000003,2.4077355e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697417940,5697417646,0.0020000006,1.0184158e-09,0.0019999994,2.1830367e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697420417,5697420143,0.0020000003,9.017601e-10,0.0019999994,4.5863313e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697427915,5697427633,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697432907,5697432627,0.0020000022,1.4816498e-09,0.001999997,2.645528e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5697437896,5697437621,0.0019999985,1.7429984e-09,0.0020000003,3.2313657e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5697441635,5697441366,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697449135,5697448857,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697452881,5697452608,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697455369,5697455099,0.002,7.212711e-10,0.0019999994,6.3246517e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5697462884,5697462590,0.0020000003,1.2513783e-09,0.001999999,8.632808e-14,nan,nan,nan,nan,nan,nan,nan,nan,0
5697466607,5697466335,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697474105,5697473826,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697476590,5697476323,0.0020000003,8.293367e-10,0.0019999994,1.2243071e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697484086,5697483815,0.0020000008,0.0,0.002000001,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697487835,5697487559,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697490332,5697490056,0.0020000022,1.2948542e-09,0.001999997,2.6624102e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697497834,5697497547,0.0020000022,2.582059e-09,0.0019999957,9.0583877e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697501573,5697501292,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697509054,5697508782,0.0020000022,2.9530365e-09,0.0019999957,1.0022551e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
5697512800,5697512528,0.0020000022,1.2653828e-09,0.0019999973,6.3378946e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697519043,5697518770,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697522792,5697522517,0.0020000022,1.8621438e-09,0.0019999966,5.0132945e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697525307,5697525012,0.0019999987,1.6873344e-09,0.0020000008,6.878096e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697532778,5697532503,0.0020000022,2.7421063e-09,0.0019999957,9.296483e-13,nan,nan,nan,nan,nan,nan,nan,nan,0
5697536543,5697536248,0.0019999985,1.366412e-09,0.0020000008,1.468008e-12,nan,nan,nan,nan,nan,nan,nan,nan,0
